epoch,accuracy,loss,val_accuracy,val_loss
1,0.1705,5.8688,0.0871,9.0351
2,0.2334,3.7899,0.0871,10.2509
3,0.2998,2.8376,0.0871,7.7057
4,0.4227,2.2324,0.1450,3.7548
5,0.5505,1.7699,0.4961,2.0960
6,0.6597,1.5145,0.6977,1.5035
7,0.7344,1.3368,0.7809,1.2431
8,0.7803,1.2600,0.8596,1.0217
9,0.8034,1.1714,0.8849,0.9585
10,0.8363,1.0593,0.8862,0.9471
11,0.8498,1.0370,0.7900,1.3818
12,0.8569,0.9920,0.8921,0.8771
13,0.8657,0.9553,0.9090,0.8300
14,0.8763,0.9082,0.9265,0.7507
15,0.8830,0.8923,0.9265,0.7462
16,0.8942,0.8484,0.8498,1.0951
17,0.8979,0.8507,0.8778,0.8010
18,0.8978,0.8416,0.9343,0.6907
19,0.9030,0.7934,0.9493,0.6787
20,0.9158,0.7747,0.9519,0.6658
21,0.8988,0.8157,0.9454,0.6605
22,0.9046,0.7937,0.8114,1.5721
23,0.9163,0.7932,0.9512,0.6361
24,0.9264,0.7083,0.6612,2.9914
25,0.9117,0.7677,0.8661,0.9014
26,0.9329,0.6854,0.6957,3.3885
27,0.9175,0.7574,0.7334,2.2305
28,0.9213,0.7413,0.9402,0.6759
29,0.9363,0.6669,0.9688,0.5145
30,0.9476,0.5768,0.9714,0.4548
31,0.9504,0.5123,0.9681,0.4157
32,0.9582,0.4510,0.9714,0.3788
33,0.9528,0.4335,0.9740,0.3390
34,0.9550,0.3930,0.9727,0.3220
35,0.9598,0.3666,0.9753,0.3066
36,0.9546,0.3674,0.9798,0.2788
37,0.9575,0.3480,0.9811,0.2610
38,0.9599,0.3427,0.9766,0.2686
39,0.9625,0.3170,0.9870,0.2453
40,0.9641,0.3064,0.9051,0.3982
41,0.9613,0.3103,0.9818,0.2397
42,0.9652,0.2983,0.9837,0.2356
43,0.9549,0.3169,0.9805,0.2431
44,0.9630,0.3102,0.9766,0.2503
45,0.9607,0.2983,0.9785,0.2409
46,0.9692,0.2825,0.9779,0.2374
47,0.9671,0.2836,0.9831,0.2235
48,0.9602,0.2974,0.9818,0.2295
49,0.9635,0.2928,0.9792,0.2320
50,0.9617,0.2976,0.9772,0.2516
51,0.9690,0.2798,0.9811,0.2278
52,0.9628,0.2858,0.9805,0.2224
53,0.9606,0.2937,0.9792,0.2237
54,0.9650,0.2829,0.9766,0.2418
55,0.9712,0.2638,0.9811,0.2257
56,0.9641,0.2823,0.9831,0.2105
57,0.9678,0.2724,0.9805,0.2206
58,0.9622,0.2892,0.9785,0.2262
59,0.9672,0.2641,0.9798,0.2237
60,0.9634,0.2665,0.9798,0.2185
61,0.9682,0.2615,0.9818,0.2212
62,0.9692,0.2608,0.9805,0.2140
63,0.9691,0.2592,0.9805,0.2068
64,0.9682,0.2590,0.9831,0.1951
65,0.9635,0.2562,0.9753,0.2036
66,0.9668,0.2409,0.9831,0.2031
67,0.9725,0.2302,0.9805,0.1956
68,0.9671,0.2433,0.9818,0.1811
69,0.9713,0.2271,0.9831,0.1836
70,0.9733,0.2200,0.9857,0.1761
71,0.9719,0.2214,0.9831,0.1731
72,0.9722,0.2199,0.9870,0.1721
73,0.9727,0.2164,0.9831,0.1820
74,0.9740,0.2100,0.9824,0.1688
75,0.9729,0.2158,0.9857,0.1737
76,0.9755,0.2134,0.9857,0.1700
77,0.9725,0.2174,0.9818,0.1795
78,0.9732,0.2090,0.9805,0.1796
79,0.9730,0.2086,0.9824,0.1782
80,0.9719,0.2089,0.9844,0.1629
81,0.9728,0.2104,0.9824,0.1718
82,0.9721,0.2116,0.9785,0.1765
83,0.9720,0.2112,0.9831,0.1655
84,0.9693,0.2203,0.9850,0.1604
85,0.9722,0.2074,0.9844,0.1604
86,0.9744,0.1982,0.9857,0.1635
87,0.9711,0.1984,0.9824,0.1712
88,0.9773,0.1945,0.9863,0.1587
89,0.9778,0.1922,0.9824,0.1671
90,0.9724,0.2005,0.9896,0.1525
91,0.9732,0.1968,0.9818,0.1679
92,0.9722,0.2041,0.9792,0.1647
93,0.9773,0.1976,0.9896,0.1514
94,0.9725,0.2061,0.9863,0.1635
95,0.9774,0.1871,0.9824,0.1633
96,0.9737,0.1963,0.9857,0.1579
97,0.9702,0.2060,0.9824,0.1612
98,0.9718,0.2012,0.9831,0.1570
99,0.9769,0.1961,0.9811,0.1580
100,0.9713,0.2047,0.9805,0.1671
